ID_ARTICOL,ARTICOL,DATA,CANTITATE,VAL_IESIRE_CU_TVA,VAL_IESIRE_FARA_TVA,VAL_INTRARE_FARA_TVA_STOC,TOTAL_DISCOUNT,FLAG_PROMOTIE,ADAOS,STOC,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,11-Jan-23,4,122.36,112.24,74.4,0,0,37.84,198,,,0
6937,BANANE CALITATEA I.,12-Jan-23,115.154,920.11,844.12,759.383054,0,0,84.736946,202.512,,,0
8259,CARNE PORC LUCRU,12-Jan-23,50.108,801.23,735.05,666.892382,0,0,68.157618,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,12-Jan-23,91,444.99,408.59,311.22,0,0,97.37,531,,,0
7784,CLEMENTINE CALITATEA I,12-Jan-23,111.522,668.04,612.86,439.95429,0,0,172.90571,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,13-Jan-23,111,542.79,498.38,379.620007,0,0,118.759993,531,,,0
7784,CLEMENTINE CALITATEA I,13-Jan-23,175.402,1050.7,964,691.960888,0,0,272.039112,1175.383,,,0
8259,CARNE PORC LUCRU,13-Jan-23,89.571,1432.28,1314.04,1192.109396,0,0,121.930604,9.954,,,0
6937,BANANE CALITATEA I.,13-Jan-23,113.142,904,829.28,807.279478,0,0,22.000522,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,13-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
8259,CARNE PORC LUCRU,14-Jan-23,63.356,1013.04,929.39,843.211341,0,0,86.178659,9.954,,,0
6937,BANANE CALITATEA I.,14-Jan-23,87.306,697.56,639.94,622.937037,0,0,17.002963,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,14-Jan-23,112,547.68,502.79,383.039993,0,0,119.750007,531,,,0
7784,CLEMENTINE CALITATEA I,14-Jan-23,150.576,901.87,827.39,594.02232,0,0,233.36768,1175.383,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,15-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
7784,CLEMENTINE CALITATEA I,15-Jan-23,132.812,795.54,729.9,523.943342,0,0,205.956658,1175.383,,,0
